State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.82753	6.90493	6.99056	7.00374	7.01362	7.08608	7.02515	6.93293	6.76990	6.54429	6.22975	5.97944	5.73901	5.51011	5.22522	4.97491	4.73283	4.53193	4.33431	4.19599	4.00167
2	2.16445	2.16059	2.15587	2.16660	2.17647	2.16059	2.15329	2.16488	2.19578	2.24899	2.31078	2.34296	2.37815	2.41548	2.44938	2.46612	2.46869	2.46397	2.46612	2.44552	2.44209
3	1.21457	1.22704	1.19409	1.17895	1.13799	1.11395	1.11306	1.08100	1.07388	1.06497	1.04895	1.01244	1.01155	0.96702	0.93408	0.91182	0.92428	0.92963	0.91449	0.90647	0.90558
4	2.14578	2.17232	2.20772	2.21214	2.43336	2.44663	2.35814	2.42451	2.49530	2.32717	2.17232	2.26966	2.14578	2.13693	2.04402	2.07499	1.96438	1.84935	1.89359	1.87590	1.85820
5	4.97501	4.76583	4.73854	4.66578	4.49297	4.37474	4.54755	4.45659	4.10189	4.08370	3.83813	3.68351	3.34699	3.13781	3.15600	3.06505	3.29242	3.53799	3.55618	3.38337	3.23785
6	4.50050	4.56777	4.41978	4.23814	4.02287	3.72687	3.54524	3.28960	3.24924	2.95997	2.85234	2.80525	3.04743	3.21561	3.23579	3.19542	3.20888	3.16179	3.01379	3.04070	3.20215
7	2.72430	2.62446	2.73856	2.60306	2.71004	2.83841	2.97391	2.95965	2.67438	2.61733	2.57454	2.57454	2.31780	2.21795	2.29640	2.33206	2.44617	2.38911	2.63159	2.54601	2.60306
8	4.26456	4.28368	4.20719	4.34105	4.11157	4.11157	3.92033	3.90121	3.57611	3.17451	2.56256	2.50519	2.12272	2.31395	2.27571	2.31395	2.27571	2.46694	2.42869	2.37132	2.40957
9	1.77818	1.78068	1.77320	1.76821	1.76489	1.77735	1.78483	1.77486	1.77985	1.78649	1.78732	1.78068	1.76572	1.74910	1.73830	1.74993	1.74744	1.73165	1.73248	1.72584	1.71919
10	0.80249	0.79980	0.79742	0.79990	0.80062	0.79742	0.79938	0.80507	0.81107	0.81903	0.83992	0.84808	0.86039	0.87518	0.89172	0.90433	0.91871	0.93380	0.94373	0.95624	0.97237
11	0.80741	0.83934	0.86899	0.86671	0.86443	0.88496	0.83250	0.82794	0.89636	0.87812	0.78689	0.79829	0.78232	0.76408	0.73215	0.77776	0.72986	0.72758	0.70706	0.76408	0.75039
12	1.50940	1.35957	1.45391	1.61484	1.54824	1.63703	1.81461	1.90895	1.98664	1.99219	1.92005	2.06988	2.15311	2.07542	2.08097	2.04213	2.10317	2.04213	2.08652	2.04768	1.92005
13	1.72883	1.71809	1.68051	1.65366	1.71272	1.82279	1.90332	2.01607	2.00265	2.13150	2.20399	2.23620	2.26573	2.30063	2.28721	2.24157	2.18519	2.18519	2.19056	2.26305	2.20399
14	2.03119	2.07464	2.10360	2.08550	2.06740	2.06015	2.08188	2.08188	2.06015	2.03119	1.94067	1.83929	1.80671	1.74878	1.74516	1.69085	1.65464	1.61119	1.60757	1.60757	1.61481
15	0.35095	0.35061	0.35137	0.35128	0.35196	0.35263	0.35271	0.35280	0.35482	0.35625	0.35869	0.36172	0.36500	0.36567	0.36652	0.36845	0.36980	0.37215	0.37325	0.37468	0.37586
