State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.21224	1.14247	1.05090	0.98549	0.89828	0.84304	0.80671	0.76601	0.75729	0.79217	0.80816	0.82851	0.84159	0.85758	0.87212	0.90991	0.95206	1.03346	1.17154	1.31108	1.47969
2	0.93515	0.88629	0.83630	0.76736	0.70184	0.61548	0.53556	0.46814	0.40072	0.36815	0.34694	0.34770	0.35868	0.38671	0.42383	0.49390	0.60866	0.72721	0.84349	0.96583	1.05408
3	1.39192	1.21823	1.02567	0.84175	0.69321	0.57453	0.52423	0.47157	0.44799	0.43306	0.43778	0.45428	0.47629	0.49358	0.52187	0.60675	0.83232	1.30468	1.95702	2.57949	3.18468
4	4.06910	4.25264	4.15501	3.54192	2.90539	2.22200	1.66357	1.46441	1.28087	1.30039	1.24572	1.16372	1.23791	1.27696	1.56204	2.72966	5.36169	8.29050	10.01265	10.61794	10.79757
5	9.67347	11.08635	12.82838	15.14841	15.41332	13.71946	9.99458	6.56672	4.82469	4.07008	4.41527	4.57583	6.41419	13.08527	28.23367	44.77891	52.17249	50.14949	44.28922	37.94728	31.30028
6	5.02335	5.91995	7.38064	9.56574	13.58560	19.39867	27.54529	36.84976	46.61738	49.92472	56.74127	73.88359	73.48576	66.09325	51.84261	35.37720	22.65851	14.60096	9.85669	6.94718	5.15992
7	3.92164	4.87215	6.31365	8.55459	11.86564	17.48057	24.54331	33.04754	37.69937	42.14977	38.80096	22.35273	19.56414	18.80248	17.27914	14.11917	10.31083	7.46560	5.31279	3.79575	2.97113
8	4.11857	4.33801	5.19886	6.31290	8.05148	10.39771	14.06054	17.82465	22.65216	25.82549	29.08321	30.31541	28.96506	25.57230	21.47060	17.28451	13.46976	10.87034	8.72665	7.24126	6.04283
9	2.71804	2.75838	2.77012	2.76351	2.74811	2.68724	2.55376	2.40194	2.18632	2.04110	1.91862	1.88708	1.97949	2.18265	2.37114	2.54716	2.69677	2.76205	2.79872	2.76571	2.74518
10	1.22725	1.18864	1.13580	1.06699	0.96796	0.84174	0.69827	0.56612	0.46673	0.41051	0.38770	0.39354	0.41982	0.44437	0.47632	0.51392	0.54796	0.58611	0.61997	0.64689	0.66989
11	2.15006	2.47419	2.82448	3.28952	3.91159	4.46118	4.58600	3.53714	2.43392	1.80783	1.57631	1.27031	1.05893	1.09919	1.18374	1.23206	1.29245	1.16361	0.99249	0.96431	0.86164
12	2.03759	2.15024	2.21882	2.48331	2.63515	2.85556	3.29639	3.30619	3.08087	2.56658	2.11106	1.70942	1.44003	1.32247	1.29798	1.21961	1.21472	1.15104	1.12655	1.10206	1.07267
13	2.16808	2.31262	2.58511	2.68936	2.80547	2.78651	2.50691	2.12780	1.77948	1.78185	1.43354	1.04494	1.04968	1.17763	1.42880	1.73683	1.98326	2.05908	1.97141	1.92876	1.88137
14	0.99069	1.00028	1.01306	1.00347	1.01306	0.97471	0.96512	0.94914	0.97151	0.99708	1.01625	1.01306	1.02904	0.99708	1.01306	1.02904	1.00667	0.99708	0.98110	0.95873	0.93636
15	0.27411	0.27262	0.27099	0.26920	0.26623	0.26333	0.25732	0.25353	0.24796	0.24343	0.24098	0.24060	0.24172	0.24417	0.24610	0.24974	0.25390	0.25657	0.25925	0.26200	0.26393
