State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.11128	1.70904	7.34320	2.24090	6.22711	0.80818	0.99243	0.12124
2	8.10230	0.28337	2.30644	2.12844	2.31102	0.34695	0.64102	0.26015
3	3.90457	0.41544	1.32883	2.28885	1.04816	0.43779	0.92229	0.08715
4	0.78585	0.57261	2.15831	2.24799	2.17255	1.24576	3.42854	0.04649
5	0.38227	5.57664	4.03094	2.22382	3.83853	4.41541	17.26266	0.09870
6	0.51683	67.64931	9.85883	1.81757	2.85263	56.73707	26.01923	0.15331
7	0.48752	32.95785	4.65559	1.08650	2.57480	38.80215	16.26651	0.42840
8	0.18181	63.35258	7.06041	1.20012	2.56283	29.08410	15.21205	0.67169
9	4.18425	2.89553	1.62501	0.93736	1.78751	1.91868	2.64605	0.59031
10	33.62493	0.16269	0.70898	0.92798	0.84000	0.38771	0.73526	0.88351
11	1.52436	0.61198	0.83609	0.77954	0.78697	1.57636	2.19499	0.47998
12	0.62654	1.01574	1.53457	1.19646	1.92025	2.11113	2.05874	0.14357
13	1.29514	0.81055	1.62492	1.38382	2.20422	1.43358	1.99859	0.20995
14	0.96027	1.81197	1.95185	0.72987	1.94088	1.01629	0.95761	0.80729
15	41.31208	0.13067	0.28760	0.61062	0.35873	0.24098	0.28405	1.51928
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
