State (Emission order)	H2AFZ	H3K4me2	H3K4me3	3K9ac	H3K27me3	H3K4me1	H3K79me2	H3K36me3	H3K9me3	H3K27ac
1	0.0011014626158597014	0.0012868897513884656	2.1585569948552567E-4	0.003396425891369952	0.006722987039514136	0.011889189494844226	0.0767732191332551	0.5089518826182909	0.005730802681631686	4.972740283767695E-4
2	0.0017073306180096517	7.366170500447523E-4	8.612904912432017E-5	0.0017653620696301332	5.218306057309354E-4	0.002886912374753836	0.03227245066669141	0.04445730149121146	9.643434541446404E-4	2.9956292480750517E-4
3	0.0044119110823107	0.008649469790304438	5.478825898510396E-4	0.002822524267295842	0.004170279088167713	0.02185619230972962	0.777827065916801	0.12160434456270436	0.006232259562309042	5.217936391764091E-4
4	0.05907212323610449	0.4613952087600193	0.02631138866721128	0.02158967964129602	0.3460878230109615	0.4572241387734189	0.9120045672165279	0.21227527518324332	0.003416116201703237	6.51509167784279E-4
5	0.19465626959211282	0.9656982848215269	0.912159929184588	0.17709563267420558	0.47577159189057594	0.2572741344289102	0.9698963304254309	0.1508100706847651	0.00597177234185246	0.0028727957329631798
6	0.7672224737918342	0.892897588854496	0.9987627078918907	0.865947887901328	0.9706190332878157	0.05323803519747001	0.6205840783825424	0.004679706806357253	0.0019443093356663263	0.0032290525315043115
7	0.7804491292921145	0.880781097345764	0.7123582121460434	0.09814565837843202	0.2505868319451719	0.16555285474251266	0.035864839928633464	0.0013359571308072609	0.00164262256886934	0.009131700875725969
8	0.46099662682278075	0.7067873069765543	0.48521989274531585	0.06302529819550573	0.015292260852700369	0.1097551703730983	0.016535866719769587	0.03053633159382804	0.08438126837598375	0.6014305608983191
9	0.004051366203780243	0.001879843981499928	2.0389181090272059E-4	0.0016753112951060386	1.0708726516637798E-4	0.0020505016106503243	1.2747614003062166E-4	2.8704095172288146E-4	0.003172326037961694	0.27851389627255435
10	0.01167126551850473	1.195904558201042E-4	6.878872270877591E-5	0.0014367135787538207	6.541430613120586E-5	0.0012609156571004164	4.473422089005226E-5	5.234769420814479E-4	0.001477360896873156	0.00833619490059051
11	0.6096894304177705	0.10877200259485795	0.0014331470409477836	0.004301677660300519	0.010910389885051537	0.09411912896742936	0.001633598165758657	0.0013649710501242014	0.0038558739044319457	0.00794813307225646
12	0.568987108000185	0.701742530458717	0.10701329022656697	0.0931097781277896	0.8606394552994221	0.6234013548546903	0.03712356534248604	0.022642596723751213	0.002945555910432551	6.944916590610457E-4
13	0.09454991075785435	0.19085432622484255	0.002355931883066289	0.0038958726608107437	0.1292112495074053	0.3586232700255568	0.024292339445478397	0.022574277676535432	0.0030092888701641293	0.002498523445948435
14	0.011456905852198699	2.066507271677236E-4	0.0022326142048120913	0.004794095540717854	6.443380817790538E-4	4.97829463603307E-4	0.003114013910701834	0.016945851027131583	0.3377365653247111	0.007681674084818869
15	5.403095069895828E-4	9.377735869061571E-5	6.221990288848911E-5	7.759801641285476E-4	5.18874547614834E-5	1.0386080045000982E-4	1.6246853379178812E-5	1.3072178563124648E-4	0.008886188927625785	5.744133575517633E-4
