15	10	E	-7555723.021070745	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	2.7584780522366076E-197
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.4336304744655624E-253
probinit	15	1.0
transitionprobs	1	1	0.9287003057467768
transitionprobs	1	2	0.0582274170467707
transitionprobs	1	3	0.004708898741693246
transitionprobs	1	4	0.0025741246130261755
transitionprobs	1	5	4.375383384981712E-5
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	3.753690860888403E-4
transitionprobs	1	13	0.005078333008130441
transitionprobs	1	14	2.917979236640881E-4
transitionprobs	1	15	0.0
transitionprobs	2	1	0.01637256160908494
transitionprobs	2	2	0.9528853615388055
transitionprobs	2	3	0.013648716826604849
transitionprobs	2	4	4.611126914856658E-4
transitionprobs	2	5	1.2505021290786685E-4
transitionprobs	2	6	0.0
transitionprobs	2	7	8.15151026454207E-4
transitionprobs	2	8	2.4350627202219335E-5
transitionprobs	2	9	1.7556976974634353E-5
transitionprobs	2	10	0.002457067744063856
transitionprobs	2	11	2.392397878760702E-5
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0121865109229688
transitionprobs	2	14	4.0239470604686787E-4
transitionprobs	2	15	5.802411386131125E-4
transitionprobs	3	1	0.0027893217930059803
transitionprobs	3	2	0.02856309659447393
transitionprobs	3	3	0.9339353004262748
transitionprobs	3	4	0.0315788153768425
transitionprobs	3	5	0.0021412823313740463
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	1.1763139328751536E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	8.397598407621394E-6
transitionprobs	3	12	0.0
transitionprobs	3	13	9.084550076168561E-4
transitionprobs	3	14	6.356773267584355E-5
transitionprobs	3	15	0.0
transitionprobs	4	1	0.007001545060615605
transitionprobs	4	2	0.004095163554963105
transitionprobs	4	3	0.15140511665314474
transitionprobs	4	4	0.748437000105931
transitionprobs	4	5	0.05889893363542603
transitionprobs	4	6	0.0
transitionprobs	4	7	9.683481752729641E-4
transitionprobs	4	8	1.1414750400798799E-5
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.012537086259997656
transitionprobs	4	13	0.016645391804248157
transitionprobs	4	14	0.0
transitionprobs	4	15	0.0
transitionprobs	5	1	3.053956873451567E-4
transitionprobs	5	2	0.0025847588569263267
transitionprobs	5	3	0.021542575553691167
transitionprobs	5	4	0.1241216201411234
transitionprobs	5	5	0.7412034158172469
transitionprobs	5	6	0.10204580298949455
transitionprobs	5	7	0.0035903972658495814
transitionprobs	5	8	5.9688181176978295E-5
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.0019713886944796944
transitionprobs	5	13	0.002461889439375468
transitionprobs	5	14	8.393969223008355E-5
transitionprobs	5	15	2.9127681060769386E-5
transitionprobs	6	1	0.0
transitionprobs	6	2	0.0
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0
transitionprobs	6	5	0.08088242396902916
transitionprobs	6	6	0.8010137803685602
transitionprobs	6	7	0.09777455046374742
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	0.013241816610061866
transitionprobs	6	13	0.0070874285886013905
transitionprobs	6	14	0.0
transitionprobs	6	15	0.0
transitionprobs	7	1	0.0
transitionprobs	7	2	0.012882297729780268
transitionprobs	7	3	0.0
transitionprobs	7	4	0.00168396801098031
transitionprobs	7	5	0.0034570084462920117
transitionprobs	7	6	0.1071407686292216
transitionprobs	7	7	0.6537862669772544
transitionprobs	7	8	0.015612733701067364
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0393249561800163
transitionprobs	7	11	0.12338073660085673
transitionprobs	7	12	0.0012938969466019955
transitionprobs	7	13	0.03571655121126673
transitionprobs	7	14	0.0
transitionprobs	7	15	0.005720815566662156
transitionprobs	8	1	1.2691487660853066E-4
transitionprobs	8	2	0.0017428131744164942
transitionprobs	8	3	6.692793861968403E-5
transitionprobs	8	4	0.0
transitionprobs	8	5	1.0726283367517813E-4
transitionprobs	8	6	1.4093490663365143E-4
transitionprobs	8	7	0.03975042784612529
